Date,RetornoSetor
2002-01-02,0.0
2002-01-03,-0.01661602796825601
2002-01-04,0.023322308204218434
2002-01-07,0.017441859691448736
2002-01-08,-0.03428571279097581
2002-01-09,0.011834273848030374
2002-01-10,0.08771929824561409
2002-01-11,0.016129032258064505
2002-01-14,-0.015873015873015928
2002-01-15,-0.03720431174001382
2002-01-16,0.001116802269698125
2002-01-17,0.0017849157954705761
2002-01-18,-0.03095767106862779
2002-01-22,-0.01700760140472213
2002-01-23,
2002-01-24,-0.01800324004003428
2002-01-25,-0.022142887115478516
2002-01-28,0.022887766322617017
2002-01-29,0.025708208752387662
2002-01-30,
2002-01-31,0.021118518519994023
2002-02-01,-0.02159084066871475
2002-02-04,-0.0069686675129888576
2002-02-05,
2002-02-06,
2002-02-07,-0.024561430278577268
2002-02-08,0.02182260751580456
2002-02-11,0.02088707822826064
2002-02-12,
2002-02-13,0.011724143192685778
2002-02-14,0.004317212748681687
2002-02-15,-0.010180969407768248
2002-02-19,0.0
2002-02-20,-0.008685738321108638
2002-02-21,0.006917184172955837
2002-02-22,0.030455711108349215
2002-02-25,0.0022222518920897993
2002-02-26,0.01064300505601734
2002-02-27,-0.012724898337336477
2002-02-28,
2002-03-01,0.026666641235351566
2002-03-04,0.05194812754713096
2002-03-05,-0.014403366069870695
2002-03-06,0.0022965234747536205
2002-03-07,-0.008331648859714602
2002-03-08,-0.01281246730570662
2002-03-11,-0.0038297533006771407
2002-03-12,-0.008756917907095096
2002-03-13,0.016806675547488936
2002-03-14,0.012502652463608266
2002-03-15,
2002-03-18,
2002-03-19,
2002-03-20,0.004813799975090349
2002-03-21,0.023328449948965213
2002-03-22,0.006716794256757197
2002-03-25,-0.029518747684023183
2002-03-26,0.004166603088378906
2002-03-27,
2002-03-28,0.05580918281581648
2002-04-01,-0.007663538749798748
2002-04-02,-0.019802017219391677
2002-04-03,0.009090885971531737
2002-04-04,0.001000985749871619
2002-04-05,0.00100009922027966
2002-04-08,-0.008391685622014311
2002-04-09,0.018738749457973602
2002-04-10,0.08188285628306291
2002-04-11,-0.031078658986781527
2002-04-12,-0.006037730308307122
2002-04-15,-0.002657471131528144
2002-04-16,0.030452957521053925
2002-04-17,0.007757631305572277
2002-04-18,0.00128295066277051
2002-04-19,0.049423480017982024
2002-04-22,-0.011861192932250518
2002-04-23,
2002-04-24,-0.03336270953268616
2002-04-25,-0.02940103264324656
2002-04-26,-0.02126060274081143
2002-04-29,-0.01653211462483206
2002-04-30,-0.0089914189443564
2002-05-01,0.006903360737080754
2002-05-02,-0.007835448080474983
2002-05-03,0.03652518056076959
2002-05-06,-0.010476248604910698
2002-05-07,
2002-05-08,0.0009625594233675372
2002-05-09,0.0384615003709976
2002-05-10,0.005925920274522545
2002-05-13,-0.01509568836676034
2002-05-14,-0.014018691088999446
2002-05-15,0.019905234245364053
2002-05-16,0.017843848141590124
2002-05-17,-0.0001826540511372654
2002-05-20,-0.017168959526166483
2002-05-21,0.003345073399249499
2002-05-22,0.005741865028812577
2002-05-23,0.0036831849728751194
2002-05-24,
2002-05-28,-0.017431137275035646
2002-05-29,-0.0634920550115664
2002-05-30,0.031704811356189966
2002-05-31,0.024352537319375145
2002-06-03,
2002-06-04,0.010188696886051618
2002-06-05,-0.04744114783772601
2002-06-06,0.024509766522575745
2002-06-07,-0.03636363039020851
2002-06-10,0.012313820417533261
2002-06-11,0.010986844682881138
2002-06-12,-0.0005821984738249019
2002-06-13,-0.06796113052964925
2002-06-14,0.031041622161865234
2002-06-17,0.0002021041960438286
2002-06-18,
2002-06-19,-0.05757574601606885
2002-06-20,0.0032154463100684265
2002-06-21,0.06816240290709265
2002-06-24,
2002-06-25,
2002-06-26,-0.07581521695584424
2002-06-27,-0.006493469498212502
2002-06-28,-0.037690642142568336
2002-07-01,0.018791032879158065
2002-07-02,-0.04622224171956379
2002-07-03,0.017940387399313362
2002-07-05,0.019226349019125566
2002-07-08,0.03278688629916937
2002-07-09,-0.018264822854839328
2002-07-10,-0.05847176766035301
2002-07-11,0.05833922565414861
2002-07-12,-0.09979997004797093
2002-07-15,0.004938266895435417
2002-07-16,-0.04422607255146515
2002-07-17,-0.007712038398018373
2002-07-18,0.010362684315472048
2002-07-19,-0.002564136798565153
2002-07-22,-0.00334188085420295
2002-07-23,-0.04565379467064545
2002-07-24,-0.034054058484564116
2002-07-25,0.018466645469161325
2002-07-26,
2002-07-29,0.018131890329758038
2002-07-30,0.051807906320258994
2002-07-31,-0.03796822459073357
2002-08-01,-0.03333328247070311
2002-08-02,
2002-08-05,
2002-08-06,-0.0344828620393497
2002-08-07,0.028571484624126068
2002-08-08,0.13888883590698242
2002-08-09,-0.09243895797910728
2002-08-12,0.06745493831308669
2002-08-13,-0.06847929136522801
2002-08-14,0.04864859974584834
2002-08-15,-0.018041256688101973
2002-08-16,0.06299214194879221
2002-08-19,0.024691405119719345
2002-08-20,-0.053975987538901316
2002-08-21,0.022669417601806744
2002-08-22,0.04582817244693071
2002-08-23,-0.04810667942895919
2002-08-26,0.04303223185265437
2002-08-27,0.005756770773178267
2002-08-28,-0.012640085559121217
2002-08-29,-0.045893779065038436
2002-08-30,0.050633010411951014
2002-09-03,-0.002891632314859782
2002-09-04,-0.043015944153494634
2002-09-05,
2002-09-06,0.06060607593140577
2002-09-09,
2002-09-10,0.030238083430699003
2002-09-11,-0.0004622466297024008
2002-09-12,-0.02774563950315445
2002-09-13,-0.0002377948962887233
2002-09-16,0.0004757709670821786
2002-09-17,-0.003804153666449039
2002-09-18,-0.00596656454157296
2002-09-19,-0.0372148679773564
2002-09-20,-0.004987526368143258
2002-09-23,
2002-09-24,-0.052882243954045505
2002-09-25,
2002-09-26,0.06774280197950389
2002-09-27,
2002-09-30,-0.016604710924293383
2002-10-01,-0.0030241907137164015
2002-10-02,-0.050808904348248696
2002-10-03,
2002-10-04,-0.03462043558256223
2002-10-07,-0.005517314752128132
2002-10-08,0.0252427147481491
2002-10-09,
2002-10-10,
2002-10-11,0.0057064969789772935
2002-10-14,0.014320498901818636
2002-10-15,0.012253546384277446
2002-10-16,0.02631584098795048
2002-10-17,
2002-10-18,
2002-10-21,
