Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
IDYA UW Equity,Ideaya Biosciences Inc,0.00272,79.445,30.37,IDYA,IDYA,Healthcare,Biotechnology,"IDEAYA Biosciences, Inc.",United States,USD
CLDX UR Equity,Celldex Therapeutics Inc,0.002669,65.735,36.02,CLDX,CLDX,Healthcare,Biotechnology,"Celldex Therapeutics, Inc.",United States,USD
PLMR UW Equity,Palomar Holdings Inc,0.00266,24.203,97.48,PLMR,PLMR,Financial Services,Insurance—Property & Casualty,"Palomar Holdings, Inc.",United States,USD
GRI LN Equity,Grainger PLC,0.002645,741.557,237.5,GRI,GRI,Healthcare,Biotechnology,"GRI Bio, Inc.",United States,USD
IPS FP Equity,IPSOS SA,0.002643,37.584,56.05,IPS,IPSC,Healthcare,Biotechnology,"Century Therapeutics, Inc.",United States,USD
IOVA UQ Equity,Iovance Biotherapeutics Inc,0.002606,250.758,9.22,IOVA,IOVA,Healthcare,Biotechnology,"Iovance Biotherapeutics, Inc.",United States,USD
ARWR UW Equity,Arrowhead Pharmaceuticals Inc,0.002598,118.65,19.42,ARWR,ARWR,Healthcare,Biotechnology,"Arrowhead Pharmaceuticals, Inc.",United States,USD
VSH UN Equity,Vishay Intertechnology Inc,0.002495,123.768,17.88,VSH,VSH,Technology,Semiconductors,"Vishay Intertechnology, Inc.",United States,USD
CPRX UR Equity,Catalyst Pharmaceuticals Inc,0.002493,110.568,20,CPRX,CPRX,Healthcare,Biotechnology,"Catalyst Pharmaceuticals, Inc.",United States,USD
APGE UQ Equity,Apogee Therapeutics Inc,0.002429,37.335,57.71,APGE,APGE,Healthcare,Biotechnology,"Apogee Therapeutics, Inc.",United States,USD
SWTX UW Equity,SpringWorks Therapeutics Inc,0.002425,66.174,32.51,SWTX,SWTX,Healthcare,Biotechnology,"SpringWorks Therapeutics, Inc.",United States,USD
AIR UN Equity,AAR Corp,0.002424,33.771,63.67,AIR,AIR,Industrials,Aerospace & Defense,AAR Corp.,United States,USD
ALR PW Equity,Alior Bank SA,0.002419,88.895,92.54,ALR,ALRN,Healthcare,Biotechnology,"Aileron Therapeutics, Inc.",United States,USD
CCC LN Equity,Computacenter PLC,0.002416,64.83,2482,CCC,CCCC,Healthcare,Biotechnology,"C4 Therapeutics, Inc.",United States,USD
VCEL UQ Equity,Vericel Corp,0.0024,48.169,44.2,VCEL,VCEL,Healthcare,Biotechnology,Vericel Corporation,United States,USD
CRIN IS Equity,Coromandel International Ltd,0.002381,107.334,1644.2,CRIN,CRNX,Healthcare,Biotechnology,"Crinetics Pharmaceuticals, Inc.",United States,USD
DRS UW Equity,Leonardo DRS Inc,0.002283,73.598,27.52,DRS,DRS,Industrials,Aerospace & Defense,"Leonardo DRS, Inc.",United States,USD
EWTX UW Equity,Edgewise Therapeutics Inc,0.00228,78.164,25.87,EWTX,EWTX,Healthcare,Biotechnology,"Edgewise Therapeutics, Inc.",United States,USD
DN IS Equity,Deepak Nitrite Ltd,0.002276,59.645,2829.3501,DN,DNA,Healthcare,Biotechnology,"Ginkgo Bioworks Holdings, Inc.",United States,USD
SMMT UQ Equity,Summit Therapeutics Inc,0.002276,89.161,22.64,SMMT,SMMT,Healthcare,Biotechnology,Summit Therapeutics Inc.,United States,USD
STC UN Equity,Stewart Information Services Corp,0.002235,27.072,73.25,STC,STC,Financial Services,Insurance—Property & Casualty,Stewart Information Services Co,United States,USD
HAG GY Equity,Hensoldt AG,0.002228,62.79,28.28,HAG,HGTY,Financial Services,Insurance—Property & Casualty,"Hagerty, Inc.",United States,USD
AVI SJ Equity,AVI Ltd,0.002189,303.121,11036,AVI,ACHR,Industrials,Aerospace & Defense,Archer Aviation Inc.,United States,USD
PMV AT Equity,Premier Investments Ltd,0.00216,91.731,30.61,PMV,PMVP,Healthcare,Biotechnology,"PMV Pharmaceuticals, Inc.",United States,USD
CGON UW Equity,CG oncology Inc,0.00214,52.443,36.2,CGON,CGON,Healthcare,Biotechnology,"CG Oncology, Inc.",United States,USD
NTLA UQ Equity,Intellia Therapeutics Inc,0.002122,90.971,20.695,NTLA,NTLA,Healthcare,Biotechnology,"Intellia Therapeutics, Inc.",United States,USD
ACAD UW Equity,ACADIA Pharmaceuticals Inc,0.0021,121.591,15.32,ACAD,ACAD,Healthcare,Biotechnology,ACADIA Pharmaceuticals Inc.,United States,USD
RGN AT Equity,Region RE Ltd,0.002093,1157.648,2.35,RGN,RGNX,Healthcare,Biotechnology,REGENXBIO Inc.,United States,USD
DEG AT Equity,De Grey Mining Ltd,0.00209,2050.076,1.325,DEG,SXTP,Healthcare,Biotechnology,"60 Degrees Pharmaceuticals, Inc",United States,USD
VIRP FP Equity,Virbac SACA,0.002073,4.252,388.5,VIRP,VRPX,Healthcare,Biotechnology,"Virpax Pharmaceuticals, Inc.",United States,USD
VERA UQ Equity,Vera Therapeutics Inc,0.002052,40.519,44.92,VERA,VERA,Healthcare,Biotechnology,"Vera Therapeutics, Inc.",United States,USD
MRCY UW Equity,Mercury Systems Inc,0.002043,50.073,36.2,MRCY,MRCY,Industrials,Aerospace & Defense,Mercury Systems Inc,United States,USD
ROO LN Equity,Deliveroo PLC,0.002034,873.758,155,ROO,ROOT,Financial Services,Insurance—Property & Casualty,"Root, Inc.",United States,USD
BEAM UW Equity,Beam Therapeutics Inc,0.002025,73.309,24.5,BEAM,BEAM,Healthcare,Biotechnology,Beam Therapeutics Inc.,United States,USD
SWB MK Equity,Sunway Bhd,0.002018,1735.119,4.26,SWB,SWBI,Industrials,Aerospace & Defense,"Smith & Wesson Brands, Inc.",United States,USD
AKRO UW Equity,Akero Therapeutics Inc,0.002006,63.554,28,AKRO,AKRO,Healthcare,Biotechnology,"Akero Therapeutics, Inc.",United States,USD
IMVT UW Equity,Immunovant Inc,0.002002,62.476,28.42,IMVT,IMVT,Healthcare,Biotechnology,"Immunovant, Inc.",United States,USD
SOLUTION AB Equity,Arabian Internet & Communications Services Co,0.001986,23.984,275.6,SOLUTION,SWKS,Technology,Semiconductors,"Skyworks Solutions, Inc.",United States,USD
FTRE UW Equity,Fortrea Holdings Inc,0.00196,89.268,19.48,FTRE,FTRE,Healthcare,Biotechnology,Fortrea Holdings Inc.,United States,USD
MIRM UQ Equity,Mirum Pharmaceuticals Inc,0.001929,43.891,38.99,MIRM,MIRM,Healthcare,Biotechnology,"Mirum Pharmaceuticals, Inc.",United States,USD
LGND UQ Equity,Ligand Pharmaceuticals Inc,0.001924,17.28,98.78,LGND,LGND,Healthcare,Biotechnology,Ligand Pharmaceuticals Incorpor,United States,USD
HMN IS Equity,Emami Ltd,0.001905,190.204,742.55,HMN,HMN,Financial Services,Insurance—Property & Casualty,Horace Mann Educators Corporati,United States,USD
MNKD UQ Equity,MannKind Corp,0.001901,263.949,6.39,MNKD,MNKD,Healthcare,Biotechnology,MannKind Corporation,United States,USD
MCY UN Equity,Mercury General Corp,0.001901,26.537,63.55,MCY,MCY,Financial Services,Insurance—Property & Casualty,Mercury General Corporation,United States,USD
PGE PW Equity,PGE Polska Grupa Energetyczna SA,0.001861,859.414,7.364,PGE,PGEN,Healthcare,Biotechnology,"Precigen, Inc.",United States,USD
NVAX UW Equity,Novavax Inc,0.001812,133.47,12.04,NVAX,NVAX,Healthcare,Biotechnology,"Novavax, Inc.",United States,USD
KROS UQ Equity,Keros Therapeutics Inc,0.001811,28.464,56.45,KROS,KROS,Healthcare,Biotechnology,"Keros Therapeutics, Inc.",United States,USD
RXRX UW Equity,Recursion Pharmaceuticals Inc,0.001748,224.99,6.89,RXRX,RXRX,Healthcare,Biotechnology,"Recursion Pharmaceuticals, Inc.",United States,USD
BCRX UW Equity,BioCryst Pharmaceuticals Inc,0.001731,203.397,7.55,BCRX,BCRX,Healthcare,Biotechnology,"BioCryst Pharmaceuticals, Inc.",United States,USD
FRES LN Equity,Fresnillo PLC,0.001714,184.252,619.5,FRES,FRES,Healthcare,Biotechnology,Fresh2 Group Limited,United States,USD
NRIX UQ Equity,Nurix Therapeutics Inc,0.001684,63.484,23.53,NRIX,NRIX,Healthcare,Biotechnology,"Nurix Therapeutics, Inc.",United States,USD
SNDX UW Equity,Syndax Pharmaceuticals Inc,0.001656,81.531,18.02,SNDX,SNDX,Healthcare,Biotechnology,"Syndax Pharmaceuticals, Inc.",United States,USD
ARVN UW Equity,Arvinas Inc,0.001619,60.692,23.66,ARVN,ARVN,Healthcare,Biotechnology,"Arvinas, Inc.",United States,USD
SKWD UW Equity,Skyward Specialty Insurance Group Inc,0.001618,34.835,41.21,SKWD,SKWD,Financial Services,Insurance—Property & Casualty,Skyward Specialty Insurance Gro,United States,USD
HMN UN Equity,Horace Mann Educators Corp,0.001613,40.329,35.48,HMN,HMN,Financial Services,Insurance—Property & Casualty,Horace Mann Educators Corporati,United States,USD
PTG MK Equity,Petronas Gas Bhd,0.00156,318.131,17.96,PTG,PTGX,Healthcare,Biotechnology,"Protagonist Therapeutics, Inc.",United States,USD
ARDX UQ Equity,Ardelyx Inc,0.001542,225.311,6.07,ARDX,ARDX,Healthcare,Biotechnology,"Ardelyx, Inc.",United States,USD
TRUP UQ Equity,Trupanion Inc,0.00154,32.487,42.05,TRUP,TRUP,Financial Services,Insurance—Specialty,"Trupanion, Inc.",United States,USD
SAVA UR Equity,Cassava Sciences Inc,0.001503,43.754,30.47,SAVA,SAVA,Healthcare,Biotechnology,"Cassava Sciences, Inc.",United States,USD
CCC PW Equity,CCC SA,0.001501,28.685,178,CCC,CCCC,Healthcare,Biotechnology,"C4 Therapeutics, Inc.",United States,USD
SGM AT Equity,Sims Ltd,0.001498,158.722,12.27,SGM,SGMO,Healthcare,Biotechnology,"Sangamo Therapeutics, Inc.",United States,USD
VSEC UW Equity,VSE Corp,0.001498,16.053,82.76,VSEC,VSEC,Industrials,Aerospace & Defense,VSE Corporation,United States,USD
JANX UQ Equity,Janux Therapeutics Inc,0.001495,27.684,47.89,JANX,JANX,Healthcare,Biotechnology,"Janux Therapeutics, Inc.",United States,USD
KURA UW Equity,Kura Oncology Inc,0.001493,67.684,19.57,KURA,KURA,Healthcare,Biotechnology,"Kura Oncology, Inc.",United States,USD
OCUL UQ Equity,Ocular Therapeutix Inc,0.001492,149.735,8.84,OCUL,OCUL,Healthcare,Biotechnology,"Ocular Therapeutix, Inc.",United States,USD
VRDN UR Equity,Viridian Therapeutics Inc,0.001467,60.802,21.4,VRDN,VRDN,Healthcare,Biotechnology,"Viridian Therapeutics, Inc.",United States,USD
INA AT Equity,Ingenia Communities Group,0.00146,373.516,5.08,INA,INAB,Healthcare,Biotechnology,"IN8bio, Inc.",United States,USD
RCKT UQ Equity,Rocket Pharmaceuticals Inc,0.001453,69.823,18.46,RCKT,RCKT,Healthcare,Biotechnology,"Rocket Pharmaceuticals, Inc.",United States,USD
SLNO UR Equity,Soleno Therapeutics Inc,0.001446,26.287,48.78,SLNO,SLNO,Healthcare,Biotechnology,"Soleno Therapeutics, Inc.",United States,USD
APE AT Equity,Eagers Automotive Ltd,0.001437,174.637,10.7,APE,APLS,Healthcare,Biotechnology,"Apellis Pharmaceuticals, Inc.",United States,USD
SYRE UW Equity,Spyre Therapeutics Inc,0.001402,44.893,27.71,SYRE,SYRE,Healthcare,Biotechnology,"Spyre Therapeutics, Inc.",United States,USD
XNCR UQ Equity,Xencor Inc,0.001352,60.7,19.76,XNCR,XNCR,Healthcare,Biotechnology,"Xencor, Inc.",United States,USD
EIG UN Equity,Employers Holdings Inc,0.001327,24.873,47.33,EIG,EIG,Financial Services,Insurance—Specialty,Employers Holdings Inc,United States,USD
RELI IS Equity,Reliance Infrastructure Ltd,0.001314,290.667,335.16,RELI,RELI,Financial Services,Insurance Brokers,"Reliance Global Group, Inc.",United States,USD
SAFT UW Equity,Safety Insurance Group Inc,0.001301,14.157,81.55,SAFT,SAFT,Financial Services,Insurance—Property & Casualty,"Safety Insurance Group, Inc.",United States,USD
AKER NO Equity,Aker ASA,0.001284,21.697,555,AKER,AKRO,Healthcare,Biotechnology,"Akero Therapeutics, Inc.",United States,USD
TARS UW Equity,Tarsus Pharmaceuticals Inc,0.00128,35.057,32.38,TARS,TARS,Healthcare,Biotechnology,"Tarsus Pharmaceuticals, Inc.",United States,USD
