Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
GD UN Equity,General Dynamics Corp,0.082182,241.644,301.69,GD,GD,Industrials,Aerospace & Defense,General Dynamics Corporation,United States,USD
NOC UN Equity,Northrop Grumman Corp,0.078552,131.945,528.11,NOC,NOC,Industrials,Aerospace & Defense,Northrop Grumman Corporation,United States,USD
MRVL UW Equity,Marvell Technology Inc,0.069138,861.628,71.18,MRVL,MRVL,Technology,Semiconductors,"Marvell Technology, Inc.",United States,USD
AJG UN Equity,Arthur J Gallagher & Co,0.068323,215.875,280.75,AJG,AJG,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.,United States,USD
INGA NA Equity,ING Groep NV,0.067518,3303.054,16.29,INGA,HII,Industrials,Aerospace & Defense,"Huntington Ingalls Industries, ",United States,USD
TRV UN Equity,Travelers Cos Inc/The,0.06035,226.535,236.32,TRV,TRV,Financial Services,Insurance—Property & Casualty,"The Travelers Companies, Inc.",United States,USD
ALL UN Equity,Allstate Corp/The,0.055528,259.247,190,ALL,ALL,Financial Services,Insurance—Property & Casualty,Allstate Corporation (The),United States,USD
LHX UN Equity,L3Harris Technologies Inc,0.049731,189.074,233.32,LHX,LHX,Industrials,Aerospace & Defense,"L3Harris Technologies, Inc.",United States,USD
MPWR UW Equity,Monolithic Power Systems Inc,0.048336,46.874,914.74,MPWR,MPWR,Technology,Semiconductors,"Monolithic Power Systems, Inc.",United States,USD
HWM UN Equity,Howmet Aerospace Inc,0.04533,403.236,99.72,HWM,HWM,Industrials,Aerospace & Defense,Howmet Aerospace Inc.,United States,USD
MCHP UW Equity,Microchip Technology Inc,0.045066,525.25,76.11,MCHP,MCHP,Technology,Semiconductors,Microchip Technology Incorporat,United States,USD
ALNY UW Equity,Alnylam Pharmaceuticals Inc,0.038736,125.99,272.73,ALNY,ALNY,Healthcare,Biotechnology,"Alnylam Pharmaceuticals, Inc.",United States,USD
HIG UN Equity,Hartford Financial Services Group Inc/The,0.038342,291.62,116.63,HIG,HIG,Financial Services,Insurance—Property & Casualty,Hartford Financial Services Gro,United States,USD
