,RetornoSetor
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.049411773681640625
2021-05-17,0.02130043684413052
2021-05-18,-0.01939263403311553
2021-05-19,0.05858215100251817
2021-05-20,0.03419102166585275
2021-05-21,0.07157465475624747
2021-05-24,0.033714995163378836
2021-05-25,-0.0009230393629807709
2021-05-26,-0.011087175756618772
2021-05-27,-0.007162922616414158
2021-05-28,0.03074032231440604
2021-06-01,0.06208158483371129
2021-06-02,-0.003438473963763178
2021-06-03,0.00632550973043977
2021-06-04,0.014285714285714235
2021-06-07,0.09183093863473803
2021-06-08,0.07378742864296473
2021-06-09,-0.03267661329298299
2021-06-10,0.08370598328563705
2021-06-11,0.06623881088466099
2021-06-14,0.05288046131268054
2021-06-15,0.006124933439451086
2021-06-16,-0.04058441658972245
2021-06-17,0.08502539258786879
2021-06-18,0.042105260809666145
2021-06-21,0.035540620247237475
2021-06-22,0.05130058022537032
2021-06-23,-0.05206189955797358
2021-06-24,0.040783035611309915
2021-06-25,0.01497737091215523
2021-06-28,0.03414553397646469
2021-06-29,0.04513026713197488
2021-06-30,-0.09382441165154709
2021-07-01,-0.021723924994553334
2021-07-02,-0.029727790882450034
2021-07-06,0.02417868892418351
2021-07-07,0.004325064993873751
2021-07-08,-0.04019375349306964
2021-07-09,0.02430359312521535
2021-07-12,0.0702682681107607
2021-07-13,0.061050509350562006
2021-07-14,-0.08293152918960678
2021-07-15,-0.0502979789258372
2021-07-16,0.05849791592502739
2021-07-19,-0.05561371003246751
2021-07-20,0.03415178791493734
2021-07-21,0.05355230231141905
2021-07-22,0.08149781999295613
2021-07-23,0.04496310566908335
2021-07-26,-0.048725582218911656
2021-07-27,-0.003940110275712172
2021-07-28,0.09999993360495352
2021-07-29,0.005466123434434866
2021-07-30,-0.003719629907793509
2021-08-02,-0.03331418315849488
2021-08-03,0.0066844466767992375
2021-08-04,0.0919286360562479
2021-08-05,0.020270270270270174
2021-08-06,-0.10145700214714404
2021-08-09,-0.04805416690471042
2021-08-10,0.006348653160268114
2021-08-11,0.06000925764075249
2021-08-12,-0.013644976770713968
2021-08-13,0.030905168474329777
2021-08-16,-0.025267725843682528
2021-08-17,0.011277157091783785
2021-08-18,0.07965242225807523
2021-08-19,-0.054460161258069184
2021-08-20,0.017591226141906224
2021-08-23,-0.03805943439524051
2021-08-24,0.02884054875028297
2021-08-25,-0.020988842211671188
2021-08-26,0.0031654851899729497
2021-08-27,0.04388980930891173
2021-08-30,0.1155537758060763
2021-08-31,-0.027466477274008638
2021-09-01,0.03457451100034836
2021-09-02,-0.05067938873692568
2021-09-03,0.027208259539891033
2021-09-07,-0.06753709057851232
2021-09-08,-0.07525574084215858
2021-09-09,-0.060998723139956135
2021-09-10,0.0434109000272529
2021-09-13,0.049628472309606986
2021-09-14,-0.01613815684454112
2021-09-15,-0.029928083900067407
2021-09-16,0.04924354471954673
2021-09-17,0.08114229101643611
2021-09-20,-0.08315900014634314
2021-09-21,-0.0048488869647360655
2021-09-22,0.026511873122445184
2021-09-23,0.030992619095726592
2021-09-24,0.010697372130673566
2021-09-27,-0.0005359179508901413
2021-09-28,-0.055630048401657195
2021-09-29,0.015330047946604307
2021-09-30,0.003774699805238813
2021-10-01,-0.010306482753637547
2021-10-04,-0.07500695728655515
2021-10-05,-0.011410314341949388
2021-10-06,-0.04139738846472707
2021-10-07,0.04061645114964518
2021-10-08,-0.0527614653663504
2021-10-11,-0.058143316060334856
2021-10-12,-0.01763791155918537
2021-10-13,0.02165110917977575
2021-10-14,0.00895934613303151
2021-10-15,-0.025273215634030843
2021-10-18,0.0315346737792368
2021-10-19,0.0621603223678282
2021-10-20,0.03693632115090395
2021-10-21,0.023592888439425863
2021-10-22,-0.031786693245801745
2021-10-25,-0.01882675171892867
2021-10-26,-0.0643831475558867
2021-10-27,-0.021694894564353806
2021-10-28,0.05422725549588692
2021-10-29,-0.04913718880438667
2021-11-01,0.050985149184593626
2021-11-02,0.01660908236678349
2021-11-03,-0.04998382672018353
2021-11-04,-0.015664876147047924
2021-11-05,-0.08527936668504399
2021-11-08,0.07923597848101038
2021-11-09,0.00963727422466465
2021-11-10,-0.16365846025654074
2021-11-11,0.07885459971048192
2021-11-12,0.05751101687322935
2021-11-15,0.008548585387711194
2021-11-16,0.1525698641671973
2021-11-17,0.007354051120763483
2021-11-18,-0.0018638571343078114
2021-11-19,0.009648227459954306
2021-11-22,-0.11528970475018019
2021-11-23,-0.08205579745579639
2021-11-24,0.1575252091115158
2021-11-26,0.031152609589982342
2021-11-29,-0.0038161530624698514
2021-11-30,0.06049482559009678
2021-12-01,-0.09211322278290536
2021-12-02,-0.005305034755357818
2021-12-03,-0.05750001271565752
2021-12-06,0.07356321668499355
2021-12-07,0.06901667772348707
2021-12-08,0.034052373382324364
2021-12-09,-0.0761436531646128
2021-12-10,-0.05016130016696063
2021-12-13,-0.01443366416931069
2021-12-14,-0.05048243037487488
2021-12-15,0.03774266001308524
2021-12-16,-0.06469657347594704
2021-12-17,0.08450171062316492
2021-12-20,-0.009998242253734468
2021-12-21,0.04248648117261267
2021-12-22,-0.011357947508057076
2021-12-23,0.028214259543655418
2021-12-27,0.013309194059652585
2021-12-28,0.011675064732946439
2021-12-29,-0.01105944275459425
2021-12-30,0.028363046650903057
2021-12-31,-0.0009456481098431002
2022-01-03,0.0
2022-01-04,-0.13164957148333378
2022-01-05,-0.06744226863610736
2022-01-06,-0.030604283005330135
2022-01-07,0.011864069133698642
2022-01-10,-0.07929248584991411
2022-01-11,0.06863795304983089
